species,family,TAXON_KEY_GBIF,iucnStatus
Atelocynus microtis,Canidae,2434454,NT
Canis latrans,Canidae,5219153,LC
Canis lupus,Canidae,5219173,LC
Cerdocyon thous,Canidae,2434584,LC
Chrysocyon brachyurus,Canidae,2434450,NT
Lycalopex culpaeus,Canidae,2434340,LC
Lycalopex fulvipes,Canidae,2434330,EN
Lycalopex grisea,Canidae,2434328,LC
Lycalopex gymnocerca,Canidae,2434333,LC
Lycalopex sechurae,Canidae,2434326,NT
Lycalopex vetula,Canidae,2434331,NT
Speothos venaticus,Canidae,2434444,NT
Urocyon cinereoargenteus,Canidae,2434566,LC
Vulpes macrotis,Canidae,5219311,LC
Herpailurus yagouaroundi,Felidae,5787224,LC
Leopardus braccatus,Felidae,2434927,
Leopardus colocola,Felidae,11367942,NT
Leopardus emiliae,Felidae,,
Leopardus fasciatus,Felidae,,
Leopardus garleppi,Felidae,,
Leopardus geoffroyi,Felidae,2434942,LC
Leopardus guigna,Felidae,2434923,VU
Leopardus guttulus,Felidae,7740958,VU
Leopardus jacobita,Felidae,2434979,EN
Leopardus narinensis,Felidae,,
Leopardus pajeros,Felidae,2434935,
Leopardus pardalis,Felidae,2434982,LC
Leopardus tigrinus,Felidae,2434930,VU
Leopardus wiedii,Felidae,2434950,NT
Lynx rufus,Felidae,2435246,LC
Panthera onca,Felidae,5219426,NT
Puma concolor,Felidae,2435099,LC
Conepatus chinga,Mephitidae,2434870,LC
Conepatus leuconotus,Mephitidae,2434878,LC
Conepatus semistriatus,Mephitidae,2434883,LC
Mephitis macroura,Mephitidae,5219394,LC
Mephitis mephitis,Mephitidae,5219380,LC
Spilogale angustifrons,Mephitidae,2434825,LC
Spilogale gracilis,Mephitidae,2434835,LC
Spilogale interrupta,Mephitidae,9577333,
Spilogale leucoparia,Mephitidae,11839479,
Spilogale pygmaea,Mephitidae,2434821,VU
Spilogale yucatanensis,Mephitidae,11498071,
Eira barbara,Mustelidae,2433716,LC
Enhydra lutris,Mustelidae,2433670,EN
Galictis cuja,Mustelidae,5218901,LC
Galictis vittata,Mustelidae,5218906,LC
Lontra canadensis,Mustelidae,2433727,LC
Lontra longicaudis,Mustelidae,2433738,NT
Lontra provocax,Mustelidae,2433736,EN
Lyncodon patagonicus,Mustelidae,2433691,LC
Neogale africana,Mustelidae,5219066,LC
Neogale felipei,Mustelidae,5219069,VU
Neogale frenata,Mustelidae,5218919,LC
Pteronura brasiliensis,Mustelidae,2433681,EN
Taxidea taxus,Mustelidae,2434102,LC
Bassaricyon alleni,Procyonidae,2433586,LC
Bassaricyon gabbii,Procyonidae,2433585,LC
Bassaricyon medius,Procyonidae,8413918,LC
Bassaricyon neblina,Procyonidae,8365779,NT
Bassariscus astutus,Procyonidae,2433557,LC
Bassariscus sumichrasti,Procyonidae,2433551,LC
Nasua narica,Procyonidae,2433531,LC
Nasua nasua,Procyonidae,2433536,LC
Nasua olivacea,Procyonidae,8618720,NT
Potos flavus,Procyonidae,2433573,LC
Procyon cancrivorus,Procyonidae,9518324,LC
Procyon lotor,Procyonidae,5218786,LC
Procyon pygmaeus,Procyonidae,5218818,CR
Tremarctos ornatus,Ursidae,2433401,VU
Ursus americanus,Ursidae,2433407,LC
